Title,Year,DOI,Blue infrastructure,blue-green infrastructure,gray infrastructure,water quality,air quality,biodiversity,Stormwater management,Flood-risk management,public health,GI_Examples,Geographic Population Density,Primary Locale,Methodology,Challenges and Limitations
Green Infrastructure and Health,2021,10.1146/annurev-publhealth-090419-102511,False,False,False,True,True,True,True,True,True,"green roofs, green walls, trees, green spaces, rain gardens, biodiverse plantings",Urban,River,"Case studies, Experimental, Review, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Ethnographic, Longitudinal",Funding
"Analysis of Green Infrastructure in Lodz, Poland",2015,10.1061/(ASCE)UP.1943-5444.0000242,False,False,False,False,False,False,False,False,False,"Green spaces, Woodland areas, Agricultural areas",Urban,Not Mentioned,"Review, Quantitative",Not mentioned
Green infrastructure: systematic literature review,2022,10.1080/1331677X.2021.1893202,False,False,True,True,True,True,True,False,False,"green roofs, green walls",Urban,River,"Case studies, Review, Qualitative, Quantitative, Modeling",Funding
Defining community-scale green infrastructure,2017,10.1080/01426397.2016.1229463,False,False,False,True,True,True,False,False,False,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Quantitative, Surveys and questionnaires",Funding
Green infrastructure in comprehensive plans in coastal Texas,2021,10.1080/09640568.2020.1835618,False,False,False,True,False,False,True,True,False,"green roofs, green walls",Suburban,Coastal,"Case studies, Qualitative, Quantitative",Lack of data
The interrelationship of green infrastructure and natural capital,2018,10.1016/j.landusepol.2018.03.021,False,False,False,True,True,True,True,True,True,"parks and gardens, amenity green space, green roofs, green walls",Urban,River,"Case studies, Review, Qualitative, Quantitative, Modeling",Funding
Improving Participation in Green Infrastructure Planning,2016,10.1080/02697459.2016.1158065,False,False,True,True,False,True,True,True,False,"green roofs, green walls",Urban,River,"Case studies, Qualitative, Surveys and questionnaires",Funding
Green Infrastructure in Rural Communities of Mexico,2019,10.11144/Javeriana.cdr16-84.girc,False,False,False,True,True,True,True,False,True,"green roofs, green walls",Rural,River,"Review, Qualitative, Quantitative, Modeling, Surveys and questionnaires, Ethnographic",Funding
Green Infrastructure Gauge: A tool for evaluating green infrastructure inclusion in existing and future urban areas,2012,10.1016/j.sbspro.2012.12.269,False,False,False,True,False,True,True,False,False,"Green roofs, Green walls",Urban,Lake,"Case studies, Surveys and questionnaires",Land availability
Green Infrastructure Planning Principles: An Integrated Literature Review,2020,10.3390/land9120525,False,True,False,True,True,True,True,True,True,"green roofs, green walls",Urban,River,"Review, Qualitative, Quantitative",Funding
